AppID,PermissionToName,AppName,Reviewer,Platform,OS,Whichpopulationsistheapptargeting,Howwouldyoubestcategorizetheappdeveloper,Whatkindsofsupportdoesthedeveloperoffer,Wasanappropriateclinicalexpertinvolvedinappdevelopmentorqualitycontrol,Werepatientsinvolvedinappdevelopmentorqualitycontrol,Doestheappmakereferencetodiseasespecificguidelines,DoestheappclaimtobecompliantwiththeFDAguidelinessurroundingregulationofmobilemedicalapps,Doestheapprequirealogin,Doestheapphaveinappadvertising,IfyouansweredYestothepriorquestionisitpossibletoupgradetoanadfreeversion,Istheapptetheredtoahealthcaresystem,Cantheappsyncdirectlywithaperipheraldevice,IftheappisaniOSappisitcompatiblewithHealthKit,IftheappisanAndroidappisitcompatiblewithGoogleFit,Doestheapphaveaprivacypolicy,Doestheappdeveloperprovideruserinformationtoothersindividuallyorinaggregate,DoestheappclaimtomeetthestandardofHIPAAcompliance,Inwhatwaysdoestheappengagepatients,Doestheapprewardtheuserforengagingwiththeapporachievinghealthgoals,DoestheappengageusersthroughsocialmediaIfsohow,Doestheappappropriatelywarnuserscaregiversorclinicianswhendangerousinformationisentered,HowdoestheapphandlecommunicationorsharingofinformationwithCAREGIVERS,HowdoestheapphandlecommunicationorsharingofinformationwithCLINICIANS,IthinkthatIwouldliketousethisappfrequently,Ifoundtheappunnecessarilycomplex,Ithoughttheappwaseasytouse,IthinkthatIwouldneedthesupportofatechnicalpersontobeabletousethisapp,Ifoundthevariousfunctionsinthisappwerewellintegrated,Ithoughttherewastoomuchinconsistencyinthisapp,Iwouldimaginethatmostpeoplewouldlearntousethisappveryquickly,Ifoundtheappverycumbersometouse,Ifeltveryconfidentusingtheapp,IneededtolearnalotofthingsbeforeIcouldgetgoingwiththisapp,Howlikelyisitthatyouwouldrecommendthisapptoafriendorcolleague,iOSAvgRating,iOSNumRatings,AndroidAvgRating,AndroidNumRatings,AndroidNumDownloads,iOSONLYPricetodownloadtheappindollars,iOSONLYPricetopurchaseALLinapppurchasesindollars,iOSONLYAnnualpricetopurchaseasubscriptionindollars,ANDROIDONLYPricetodownloadtheappindollars,ANDROIDONLYPricetopurchaseALLinapppurchasesindollars,ANDROIDONLYAnnualpricetopurchaseasubscriptionindollars
20,n,,clinician_reviewer,iPhone,iOS,Cancer,Other non-profit organization,E-mail,No clinical expert involved,Patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,No,No,Provides educational information,No,"Public (e.g. Twitter, Facebook, Pinterest, etc), Private (e.g. app connects you to other patients through its own social media platform), Through a web-based forum",No,None of the above,None of the above,,,,,,,,,,,8,4.5,33,,,,0,0,0,,,
20,n,,nonclinician_reviewer,iPhone,iOS,Cancer,Other non-profit organization,E-mail,Clinical expert involved,Patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,"Yes, individual information",No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Enables communication of information with family (e.g. caregiver)",No,"Public (e.g. Twitter, Facebook, Pinterest, etc), Private (e.g. app connects you to other patients through its own social media platform), Through a web-based forum",No,None of the above,None of the above,4,2,4,1,3,2,4,2,4,2,,,,,,,0,0,0,,,
23,y,Assist Me with Inhalers,clinician_reviewer,iPhone,iOS,Asthma or COPD,For-profit company,E-mail,Clinical expert involved,Patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Reminds or alerts patients",No,None of the above,No,None of the above,None of the above,,,,,,,,,,,10,3.5,6,,,,0.99,0,0,,,
23,y,Assist Me with Inhalers,nonclinician_reviewer,iPad or iPad Mini,iOS,Asthma or COPD,For-profit company,"E-mail, Phone",Clinical expert involved,No patients involved,Yes,Yes,No,Yes,No,No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Reminds or alerts patients",No,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,2,2,5,1,3,2,5,1,4,1,,,,,,,0.99,0,0,,,
24,y,Blood Pressure Watch,clinician_reviewer,Android tablet,Android,Hypertension,For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,No,Yes,Yes,No,No,Not applicable (Android app),No,No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,Through a web-based forum,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,7,,,,,,0,0.99,2.99,,,
24,y,Blood Pressure (BP) Watch,nonclinician_reviewer,Android tablet,Android,Hypertension,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,Yes,Yes,No,No,Not applicable (Android app),No,Yes,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,3,2,4,1,4,2,4,2,3,2,,,,4.5,12,"1,000,000 - 5,000,000",0,0.99,4.99,,,
25,y,Diamedic,clinician_reviewer,iPhone,iOS,Diabetes mellitus,Individual,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,2,,,,,,5.99,0,0,,,
25,y,Diamedic,nonclinician_reviewer,iPad or iPad Mini,iOS,Diabetes mellitus,Individual,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,3,4,3,3,4,1,2,4,2,3,,3.5,143,,,,5.99,0,0,,,
32,y,Moodtrack Diary: Mood Tracker,clinician_reviewer,Android tablet,Android,Depression or bipolar disorder,Individual,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,Not applicable (Android app),No,No,Not stated,No,"Records information, Displays patient's health information",No,Private (e.g. app connects you to other patients through its own social media platform),No,None of the above,None of the above,,,,,,,,,,,7,,,,,,0,0.99,0,,,
32,y,Moodtrack Diary: Mood Tracker,nonclinician_reviewer,Android tablet,Android,Depression or bipolar disorder,Individual,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,Not applicable (Android app),No,No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,"Private (e.g. app connects you to other patients through its own social media platform), Through a web-based forum",No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,5,1,5,1,4,1,5,1,5,1,,,,4,939,"50,000 - 100,000",0,1,0,,,
33,n,,clinician_reviewer,iPhone,iOS,Depression or bipolar disorder,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,Yes,Yes,Yes,No,No,No,Not applicable (iOS app),Yes,No,No,"Records information, Displays patient's health information, Reminds or alerts patients",Yes,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,,,,,,,,,,,7,,,,,,0,0,0,,,
33,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Depression or bipolar disorder,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,Yes,Yes,No,No,No,No,Not applicable (iOS app),Yes,No,No,"Records information, Displays patient's health information, Reminds or alerts patients",Yes,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,5,1,5,1,5,1,5,1,5,1,,4,6,,,,0,0,0,,,
40,y,MoodTools - Depression Aid,clinician_reviewer,Android tablet,Android,Depression or bipolar disorder,For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,Not applicable (Android app),No,Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information",No,None of the above,Yes,None of the above,None of the above,,,,,,,,,,,6,,,,,,0,0,0,,,
40,y,MoodTools - Depression Aid,nonclinician_reviewer,Android tablet,Android,Depression or bipolar disorder,Other non-profit organization,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,Not applicable (Android app),No,No,Not stated,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information",No,None of the above,No,None of the above,None of the above,5,1,5,1,5,1,5,1,5,1,,,,4,460,"10,000 - 50,000",0,0,0,,,
41,n,,clinician_reviewer,iPhone,iOS,Depression or bipolar disorder,For-profit company,"E-mail, Phone",No clinical expert involved,No patients involved,No,No,Yes,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,"Yes, in aggregate only",No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,6,,,,,,0,0,0,,,
41,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Depression or bipolar disorder,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,Yes,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,No,No,"Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information, Reminds or alerts patients",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,4,3,4,2,4,1,4,3,4,2,,4,554,,,,0,0,0,,,
44,n,,clinician_reviewer,iPhone,iOS,Chronic kidney disease,Medical professional society,"E-mail, Phone",Clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,Yes,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,Yes,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,8,,,,,,0,0,0,,,
44,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Chronic kidney disease,Medical professional society,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,Yes,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,4,1,5,1,5,1,5,1,5,1,,,,,,,0,0,0,,,
45,n,,clinician_reviewer,iPhone,iOS,Chronic kidney disease,For-profit company,None of the above,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Records information, Displays patient's health information",No,None of the above,Yes,None of the above,None of the above,,,,,,,,,,,5,,,,,,0,0,0,,,
45,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Chronic kidney disease,For-profit company,"E-mail, Phone",No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,Yes,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,5,2,4,2,4,1,4,2,4,2,,3.5,35,,,,0,0,0,,,
46,n,,clinician_reviewer,iPhone,iOS,Chronic kidney disease,For-profit company,None of the above,No clinical expert involved,Patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Records information, Displays patient's health information",No,None of the above,No,None of the above,None of the above,,,,,,,,,,,2,,,,,,5.99,0,0,,,
46,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Chronic kidney disease,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,"Patient can e-mail information to caregiver using app, Patient can text information to caregiver using app","Patient can e-mail information to clinician using app, Patient can text information to clinician using app",4,2,4,1,4,1,4,2,4,2,,,,,,,5.99,0,0,,,
52,n,,clinician_reviewer,iPad or iPad Mini,iOS,Cancer,Other non-profit organization,E-mail,No clinical expert involved,Patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information",No,"Public (e.g. Twitter, Facebook, Pinterest, etc)",Yes,None of the above,None of the above,,,,,,,,,,,3,,,,,,0,0,0,,,
52,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Cancer,Medical professional society,E-mail,No clinical expert involved,No patients involved,Yes,No,Yes,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Records information, Reminds or alerts patients",No,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,3,1,5,1,5,1,4,1,5,1,,5,19,,,,0,0,0,,,
53,y,iCANcer,clinician_reviewer,iPad or iPad Mini,iOS,Cancer,Individual,E-mail,No clinical expert involved,Patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,6,,,,,,2.99,0,0,,,
53,y,iCANcer,nonclinician_reviewer,iPad or iPad Mini,iOS,Cancer,Individual,E-mail,No clinical expert involved,Patients involved,No,No,Yes,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,3,4,3,2,3,1,2,4,3,3,,4.5,13,,,,2.99,0,0,0,0,0
55,n,,clinician_reviewer,iPad or iPad Mini,iOS,Cancer,For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,Yes,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,7,,,,,,6.99,0,0,,,
55,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Cancer,For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,Yes,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,2,2,5,2,3,1,3,1,4,2,,4,11,,,,6.99,0,0,,,
57,n,,clinician_reviewer,Android tablet,Android,Dementia or mild cognitive impairment,For-profit company,"E-mail, Phone",Clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,Not applicable (Android app),No,No,No,No,None of the above,Yes,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,,,,,,,,,,,2,,,,,,,,,0,6.4,0
57,n,,nonclinician_reviewer,Android tablet,Android,Dementia or mild cognitive impairment,For-profit company,E-mail,Clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,Not applicable (Android app),No,No,Not stated,No,"Provides educational information, Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,4,2,4,2,4,1,4,1,4,2,,,,4.5,24,"1,000 - 5,000",,,,0,6.4,0
61,y,Spaced Retrieval TherAppy,clinician_reviewer,iPhone,iOS,Dementia or mild cognitive impairment,For-profit company,E-mail,Clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,7,,,,,,2.99,0,0,,,
61,y,Spaced Retrieval TherAppy,nonclinician_reviewer,iPad or iPad Mini,iOS,"Dementia or mild cognitive impairment, Stroke",For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),Yes,No,No,"Instructs patients (app provides guidance or advice based on information you provide it), Records information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,5,1,5,1,5,1,4,1,5,3,,4,14,,,,3.99,0,0,,,
63,n,,clinician_reviewer,iPhone,iOS,"Chronic kidney disease, Cirrhosis or liver disease",For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,Provides educational information,No,None of the above,No,None of the above,None of the above,,,,,,,,,,,3,,,,,,0.99,0,0,,,
63,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,"Chronic kidney disease, Cirrhosis or liver disease",For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Records information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,"Patient can e-mail information to caregiver using app, Patient can text information to caregiver using app","Patient can e-mail information to clinician using app, Patient can text information to clinician using app",3,1,5,1,4,1,5,1,5,1,,,,,,,0.99,0,0,,,
64,n,,clinician_reviewer,iPhone,iOS,"Chronic kidney disease, Cirrhosis or liver disease",For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,Provides educational information,No,None of the above,No,None of the above,None of the above,,,,,,,,,,,4,,,,,,2.99,0,0,,,
64,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Cirrhosis or liver disease,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Provides educational information, Records information",No,None of the above,No,"Patient can e-mail information to caregiver using app, Patient can text information to caregiver using app","Patient can e-mail information to clinician using app, Patient can text information to clinician using app",3,1,5,1,5,1,5,1,5,1,,,,,,,2.99,0,0,,,
65,y,EncephalApp - Stroop Test,clinician_reviewer,iPhone,iOS,Cirrhosis or liver disease,Individual,E-mail,Clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,6,,,,,,0,0,0,,,
65,y,EncephalApp - Stroop Test,nonclinician_reviewer,iPad or iPad Mini,iOS,Cirrhosis or liver disease,Other non-profit organization,E-mail,Clinical expert involved,Patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,2,1,4,1,5,1,5,1,5,1,,,,,,,0,0,0,,,
