Date,Location,Deaths,Injuries,Total,Description
4/24/1890,"Brazil, Indiana",0,1,1,"While the pupils of the Meridian Street School were at play, student Ben Corbery drew a revolver and seriously wounded 10-year-old Cora Brubach in the face. Cora had told the teacher about Ben's misconduct.[31]"
12/27/1890,"Staunton, Virginia",1,0,1,"At Kable's Military Academy, 15-year-old A.H. Hathaway of Denison, Texas, was accidentally shot and killed by his 17-year-old classmate James Whitworth of Sulphur Springs, Texas, while they were playing with an old pistol.[32]"
3/301891,"Liberty, Mississippi",0,14,14,"During a school exhibition and concert at the Parson Hill schoolhouse, an unknown gunman fired a double-barreled shotgun into the mixed audience, made up of black and white students, parents and teachers. 14 people were wounded, some seriously.[33]"
4/9/1891,"Newburgh, New York",0,2,2,"70-year-old James Foster fired a shotgun at a group of students in the playground of St. Mary's Parochial School, causing minor injuries to several of the students.[34]"
3/26/1893,"Plain Dealing, Louisiana",4,1,5,"During an evening school dance at Plain Dealing High School, a fight broke out. Two students were shot and killed immediately, two more were fatally wounded, and the high school's Professor Johnson was wounded in the arm.[35]"
12/13/1898,"Charleston, West Virginia",6,3,9,"During the school exhibition, a group of young men tried to break up a student performance. When teacher Mr. Fisher tried to throw them out, they turned on him. Audience members joined the fray. Harry Flasher was shot and instantly killed, Henry Carney was fatally shot in the back, Ralph Jones and two others were also fatally shot, and George Gibson was shot in the hand; Haz Harding had his skull crushed, and several others received minor wounds.[36]"
2/24/1903,"Inman, South Carolina",1,0,1,"Edward Foster, a 17-year-old student at Inman High School, was fatally wounded by his teacher Reuben Pitts after jerking a rod from Pitts' hands to avoid punishment. According to the teacher, Foster struck the pistol Pitts had drawn, and caused it to fire. Pitts was acquitted of murder on grounds of self-defense.[37]"
7/21/1903,"Jackson, Kentucky",2,1,3,"At the Cave Run School, James Barrett and Mack Howard argued over a card game and fought a duel with pistols, killing each other. Twelve-year-old student James Vires was shot in the abdomen while sitting at his desk during the gunfight.[38]"
4/6/1904,"Chicago, Illinois",1,0,1,"Two students had been fighting for months over a girl. Henry Schaze threw 16-year-old Paul Jelick to the ground, drew a revolver, and killed his rival.[39]"
11/16/1904,"Riverside, California",2,1,3,"At the Indian School, a gun fight broke out between pupils. Charles Colby was shot in the head with a pistol, then returned fire, killing Tom Bucanoros, and fatally wounding Fred Smith.[40]"
12/16/1904,"Magee, Mississippi",1,1,2,"Parent E.E. Mangum was shot through the head and killed by the principal of the high school, Professor J. E. Woodward, after shooting the principal in the hand. Mangum had argued with Woodward, who had given Mangum's 15-year-old son a severe whipping.[41]"
2/9/1905,"Colusa, California",0,1,1,"The meeting of 17-year-old Elmer Hildreth with a school Trustee ended in an armed encounter over Hildreth's being suspended. When Mr. Ingrim went after Hildreth with an axe, Hildreth shot him in the stomach. Hildreth was arrested and was found to have acted in self-defense; no charges were filed. Ingrim survived.[42]"
10/5/1905,"Hickman, Kentucky",1,0,1,Parent George Nicholson killed John Kurd at a schoolhouse during a school rehearsal. Kurd had made a disparaging remark about Nicholson's daughter during her recital.[43]
12/20/1907,"Chico, California",1,0,1,"Nine-year-old Arthur Roberts was shot in the head and killed outside his school during a military drill by school children of the Dayton school district. Armed with old guns believed to be empty, the children had pulled the triggers.[44]"
1/10/1908,"Council Bluffs, Iowa",0,0,0,"At around 6 a.m., as George O Mortensen, 35-year-old janitor of the Washington Street School building, was unlocking the outer door of the school. Someone discharged a shotgun from a few feet away. The shot riddled the door within a foot of his head.[45]"
3/11/1908,"Fenway–Kenmore, Massachusetts",2,0,2,"39-year-old teacher Miss Sarah Chamberlain Weed killed 34-year-old teacher Elizabeth Bailey Hardee, then shot herself, at the Laurens School, a fashionable boarding school. Weed was said to be suffering from melancholia (depression).[46]"
3/19/1909,"Mount Vernon, Illinois",0,1,1,"During a school performance of The Grand Central, John Moake, portraying the villain, was shot in the forehead and dangerously wounded by the hero, Roy Slater. The cartridge was thought to have been blank.[47]"
6/10/1909,"Trinidad, Colorado",1,0,1,"Walter Harris, an 11-year-old student, accidentally shot his teacher, B. C. Briggs, in the head while on a school field trip, killing him.[48]"
9/11/1909,"White Rock Township, Missouri",1,0,1,"John Butram, a student at the Bear Hollow School, told his fellow students that school was cancelled. The teacher, A. T. Kelly, said it was not. When Butram drew a knife on his teacher, Kelly shot and killed him.[49]"
1/12/1910,"Harlem, New York",1,1,2,"""A black-bearded maniac drew an automatic pistol"" and fired five shots into a crowd of boys at the Harlem School, who were taunting him. Six-year-old Robert Lomas was hit and died instantly; six-year-old Arthur Shively was critically wounded.[50]"
8/16/1910,"Lexington, Kentucky",1,2,3,"A general fight broke out during school board elections. Lewis Napier was shot and killed, and several other people were hurt. Several men were arrested.[51]"
4/27/1911,"Manhattan, Kansas",0,1,1,"During a school play rehearsal, a boy loaded his revolver, unknown to others. Pearl Reedy, an 18-year-old student who was to use the gun in the play, said she was afraid to handle it. The teacher, Sister Rose, said that the gun was not operational. She pointed it at the ground and squeezed the trigger. The bullet ricocheted and wounded Reedy in the shoulder.[52]"
1/31/1912,"San Francisco, California",1,0,1,"During a stone throwing confrontation near the Oriental School on Clay Street, a group of white boys became trapped between two groups of Chinese boys. Jose Aguilar fired a BB shot air rifle twice to frighten the Chinese. Wong She, age 10, had a gun and fired back. One bullet passed through Aguilar's coat sleeve and fatally struck 14-year-old James Kane in the school's rear yard.[53][54]"
2/16/1912,"Lagrange, New York",1,0,1,"14-year-old May McQuade was killed by classmate Raymond B. Carroll. Carroll said the shooting was accidental, as he did not think the gun was loaded.[55]"
11/19/1914,"Sayre, Pennsylvania",1,0,1,"While walking to school, 14-year-old Charles Listman killed 15-year-old Andrew Milton over rivalry for classmate 13-year-old Minnie London.[56]"
1/13/1915,"Vancouver, Washington",0,1,1,"During a parent-teachers' meeting, 15-year-old student Murlan Decker was accidentally shot by his younger brother, Luther.[57]"
2/3/1915,"Jasper, Florida",1,1,2,"20-year-old Will Yates, teacher of Clear Pond School in Hamilton County, Florida, was shot and killed in a fight with Claude Holtzendorff and his two sons. The Holtzendorffs objected to one of the boys being whipped at school. When they showed up, Yates had armed himself. He shot the father through the mouth, and was fatally shot through the body, dying an hour later.[58]"
9/20/1916,"Bemidji, Minnesota",0,1,1,"Olga Dahl, the 19-year-old teacher at the Round Lake District School, was found tied to a tree near the school, assaulted, and shot twice in the face. She had been working late after school, when a man with a revolver entered the schoolhouse and ordered her to obey him. He raped and shot her; she was expected to live. A group of men in Itasca County, Minnesota joined in hunting the assailant.[59][60]"
12/26/1916,"Danville, Kentucky",1,2,3,"During the Christmas tree celebration at the Harris Creek School, a fight broke out in the room packed with children and visitors. William Benedict Sr. was instantly killed, William Benedict Jr. was shot in the ankle, Bourdon Galloway was shot in the right arm, and Mike Gaddis was shot in the leg. Many others were injured. Thomas Thornton had been drinking and objected to Benedict telling him to calm down. Thornton's brother George left the room and returned with a revolver.[61]"
6/5/1917,"Harrisburg, Pennsylvania",0,1,1,"Sixteen-year-old freshman Earl Wolf was accidentally shot in the leg with a revolver about noon, in the company of classmates at Central High School.[62]"
10/28/1917,"Chicago, Illinois",1,0,1,"Brothers 16-year-old William and 15-year-old Ralph Carter broke into the May Public School, robbing the phone boxes and teachers' desks. When they were discovered by janitor Howard Parks and policeman Thomas Conway, the latter shot at them. William was critically wounded and not expected to live; Ralph Carter was taken to jail.[63]"
11/29/1917,"Manes, Missouri",0,1,1,"At the Perkins School's Thanksgiving night pie supper, 21-year-old teacher Joe Todd, was mysteriously shot. He was expected to recover.[64]"
3/29/1918,"Jefferson City, Missouri",1,0,1,"At the Lincoln Institute, State Negro Normal School, 31-year-old Professor Romeo West, was killed in the dormitory by superintendent of school Theodore Martin. They were arguing about dishes to use at a social. Martin said he shot in self-defense, fatally hitting West with three of five shots.[65]"
4/6/1918,"Reeder, North Dakota",1,0,1,"During the afternoon recess, a boy was looking over a 22-caliber rifle; it discharged, striking the head of the Coyne boy in the seat to the front, killing him instantly.[66]"
1/9/1919,"Philadelphia, Missouri",0,0,0,"While school was in session, Hugh Claggett shot through the schoolhouse's front door, while on his way home from work. No one was hurt, and he was fined $20.[67]"
4/12/1919,"Ogden City, Utah",0,1,1,"During a high school assembly, six boys shot off their guns. Permission had been given in the belief the guns were loaded with blanks, but they had live shot. Teacher Verna Davidson was shot in the foot.[68]"
8/4/1919,"Berkeley, California",0,2,2,"Roger Sprague, an assistant in the department of chemistry at the University of California, despondent over his inability to obtain a position, shot and wounded 59-year-old Professor Edmond O'Neill, head of department, and 37-year-old Dr. Joel Henry Hildebrand, professor of chemistry, in the offices of Gilman Hall. He went to California Hall and shot at 57-year-old May L. Cheney, appointment secretary, but hit only one of her hair combs before he was subdued.[69]"
2/14/1920,"Durant, Oklahoma",0,1,1,"At the Durant Normal School, teacher Albert McFarland, was seriously wounded by one of his pupils.[70]"
3/4/1920,"Cincinnati, Ohio",0,1,1,"14-year-old student Lawrence Angel shot his teacher, Beatrice Conner, through the arm for sending him to the principal's office.[71]"
5/1/1920,"Summerville, Georgia",0,0,0,"At the High School, 15-year-old student Alexander Potter fired six shots at his teacher, Prof. Ransom, but missed. Potter was upset over having been whipped and expelled. He was sentenced to six years at a reform school.[72]"
5/15/1920,"Bowling Green, Ohio",1,0,1,"While attending her son's school track meet, Mrs. F. Mahl was killed accidentally by a shot from the starter's pistol.[73]"
8/1/1920,"Ogden, Utah",0,1,1,"Mike Smults, the night watchman at the Utah school for the Deaf and Blind, shot a 10-year-old boy, Dennis McDonald, as he and his brother Clinton cut through the campus. The watchman said he fired into the air as a warning.[74]"
10/22/1920,"Chicago, Illinois",0,1,1,"Mrs. Carmila Rindoni went to the school and twice shot Rosalind I. Reynolds, her son's teacher, for spanking her son the day before. Mrs. Rindoni was arrested; Miss Reynolds was expected to recover.[75]"
11/4/1920,"Middlesboro, Kentucky",1,0,1,"Prof. Barnes of Middlesboro High School was fatally shot by Adolphus Oaks for whipping Oaks' sister the week before. Barnes had submitted his resignation to the school board, as students had boycotted his class in protest over the whipping. He intended to leave the city that weekend. Oaks went to jail.[76]"
2/17/1922,"Valdosta, Georgia",2,0,2,"John Glover broke into the schoolhouse, where he killed a girl and fatally wounded a boy. A mob tracked and killed Glover 7 miles (11 km) in Indianola (now Naylor, Georgia).[77]"
8/1/1922,"Ardmore, Oklahoma",1,0,1,"Bryant Hignight and four other students were at the outhouse of the Mount Zion school. Hignight fired two shots. One instantly killed Raymond Guinn. When questioned, the other three boys said it was an accident.[78]"
12/29/1926,"Gettysburg, Pennsylvania",0,1,1,"12-year-old Frederick Heilman was shot through the right instep when Gettysburg College janitor Joseph Carver fired toward a group of boys trying to force their way into the college gymnasium. Carver had shot into the ground, and did not realize a bullet had ricocheted. Heilman's father did not press charges.[79]"
5/22/1930,"Ringe, Minnesota",1,0,1,"24-year-old Douglas Petersen, killed 20-year-old teacher, Margaret Wegman, who was standing in the doorway of a rural schoolhouse.[80]"
5/28/1931,"Duluth, Minnesota",1,0,1,"Katherine McMillen, 24-year-old teacher at the Howard Gensen rural school near Duluth, was accidentally killed by a pupil who brought a revolver to school.[81]"
9/14/1934,"Gill, Massachusetts",1,0,1,Headmaster Elliott Speer was murdered by a shotgun blast through the window at Northfield Mount Hermon School. The crime was never solved.[82]
6/4/1936,"Bethlehem, Pennsylvania",2,0,2,"Wesley Clow killed his Lehigh University English instructor, C. Wesley Phy, for giving him a failing grade. Clow committed suicide after shooting Phy.[83]"
6/4/1937,"Isabel, Kansas",1,0,1,"16-year-old Robert Douthitt was accidentally killed backstage during high school play practice. The revolver was to have been loaded with blanks, but it held live ammunition.[84]"
9/24/1937,"Toledo, Ohio",0,2,2,"12-year-old Robert Snyder wounded his principal, June Mapes, in her office at Arlington Public School when she declined his request to call a classmate. He fled the grounds and wounded himself.[85]"
1/24/1938,"Blencoe, Iowa",1,0,1,17-year-old Edward Marley was accidentally killed by a fellow actor with a loaded gun while rehearsing for a play at Blencoe High School.[86]
5/6/1940,"South Pasadena, California",5,2,7,"Verlin Spencer, the 38-year-old principal of South Pasadena Junior High School, killed five of his colleagues and left another seriously injured in shootings at two locations. Spencer had a long history of clashes with faculty and staff and was forced to serve a three-week involuntary leave of absence the year prior. When cornered by police, he shot himself in a suicide attempt but survived and was sentenced to five consecutive life sentences. Three years later, Spencer learned that the blood sample taken after his arrest was found to have high levels of bromide, a popular painkiller he took for headaches. While the amount was high enough to render him legally insane at the time of the shooting, he did not receive a retrial but was released from prison in 1970.[87][88][89]"
7/4/1940,"Valhalla, New York",1,0,1,"Angered by the refusal of his daughter, 15-year-old Melba, to leave a boarding school and return home, 47-year-old Joseph Moshell went to the school and shot and killed his daughter.[90] Moshell was sentenced to death for the murder; the governor of New York later commuted his sentence to life in prison.[91]"
10/2/1942,"Williamsburg, New York",1,0,1,"Irwin Goodman, 36-year-old mathematics teacher at William J. Gaynor Junior High School, was shot and killed in the school corridor by two boys.[92]"
6/26/1946,"Williamsburg, New York",0,1,1,A 15-year-old student was shot in the chest at the PS 147 annex of Brooklyn Automotive Trades High School after refusing to give money to a gang of seven youths.[93]
12/23/1948,"Ramapo, New York",1,0,1,"A 14-year-old student was fatally wounded in the head by a shot from fellow student, 17-year-old Robert Ross, when he happened to be into range where Ross was target shooting near a lake at the school, and was caught in the crossfire.[94]"
3/11/1949,"Battery Park City, New York",0,1,1,"A 16-year-old student at Stuyvesant High School was accidentally shot in the arm by a fellow student who was ""showing off"" with a pistol in a classroom.[95]"
11/12/1949,"Columbus, Ohio",1,0,1,"Ohio State University freshman James Heer took a .45-caliber handgun from the room of a Delta Tau Delta fraternity brother and killed 21-year-old Jack McKeown, a senior and fraternity brother.[96] Heer was sentenced to life in prison for the crime.[97]"
11/18/1949,"Bronzeville, Illinois",1,0,1,"16-year-old LaVon Cain of DuSable High School was shot to death at the school after a group of female students began shooting at another group of female students. The shooting was over domestic disputes that had occurred days prior. Edwina Howard, aged 19, and two other teenage girls were charged in the shooting.[98] The shooting was noted as one of the first fatal shootings in a Chicago public school.[99]"
1/31/1950,"Evanston, Illinois",0,1,1,"A 13-year-old boy shot his classmate, 13-year-old Nancy Penfield, in the neck with a pistol at Skokie High School.[100]"
3/16/1950,"Los Angeles, California",0,0,0,Five young gangsters fired three shots at members of a rival gang once classes were dismissed at Roosevelt High School.[101]
3/20/1950,"Antlers, Oklahoma",0,1,1,A 12-year-old boy shot 15-year-old Byron Baker in the abdomen on the grounds of Antlers High School as revenge for a fight they had the previous day.[102]
7/22/1950,"New York City, New York",0,1,1,A 16-year-old boy was shot in the wrist and abdomen at the PS 141 dance during an argument with a former classmate.[103]
10/8/1950,"New Orleans, Louisiana",0,6,6,"Two unidentified suspected gangsters opened fire on each other from opposite ends of a balcony at Book T. Washington High School while a jazz band was playing. Six bystanders were slightly injured, and the gunmen fled the scene.[104]"
1/24/1951,"Alton, Illinois",1,0,1,"61-year-old Henry Suhre, quartermaster at Western Military Academy, was killed in the cadet store on campus.[105]"
3/12/1951,"Union Mills, North Carolina",2,0,2,"Professor W.E. Sweatt, superintendent and teacher at the Alexander School, was killed by 16-year-old Billy Ray Powell and 19-year-old Hugh Justice, students whom he had reprimanded. The boys fled and also shot Wade Johnson, 15, for reporting their rule infraction to Sweatt.[106]"
11/27/1951,"St. Louis, Missouri",1,0,1,15-year-old student David Brooks was fatally shot in front of other pupils. Two former students were sought by police.[107]
4/8/1952,"Rabun Gap, Georgia",1,0,1,A 15-year-old boarding school student shot a dean rather than give up his pin-up pictures of girls in bathing suits.[108]
7/14/1952,"Morningside Heights, New York",1,0,1,"Bayard Peakes shot and killed secretary Eileen Fahey at the American Physical Society (APS) office at Columbia University, where he was reportedly upset that the APS had rejected a paper of his.[109] Peakes was deemed insane by a judge; he was held at an asylum for the criminally insane until his death in 2000.[110]"
12/12/1952,"Old Norwood Park, Illinois",0,0,0,"16-year-old Lawrence Karr and 17-year-old James Bergan broke into Taft High School, stole two ROTC carbines and ammunition, and vandalized the school with the guns. Both were convicted of burglary and sentenced to one to two years in prison.[111]"
1/31/1953,"Kalispell, Montana",0,1,1,61-year-old Special Deputy Vernon Graves was accidentally shot in the face with a shotgun at the Fairview school.[112]
5/19/1953,"Miami, Florida",0,1,1,"29-year-old Paul Singer, a teacher, was teaching firearm safety to his students at Edison Junior High School when his pistol slipped from its holster and discharged when it struck the floor. The bullet hit Singer in the lower abdomen, severely wounding him.[113]"
10/2/1953,"Brighton Park, Illinois",1,0,1,14-year-old Bernice Turner killed 14-year-old Pasquale Coletta inside the science classroom at Kelly High School. The shooting was later ruled to be accidental.[114]
3/31/1954,"Newton, Massachusetts",1,0,1,14-year-old John Frankenberger was accidentally killed in a classroom at Day Junior High School when a pistol held by a classmate discharged.[115]
5/15/1954,"Chapel Hill, North Carolina",1,2,3,Putnam Davis Jr. was killed during a fraternity house carnival at the Phi Delta Theta house at the University of North Carolina. William Joyner and Allen Long were wounded during the exchange of gunfire in their room. The incident followed an all-night beer party. Long told police that Davis pulled out a gun and started shooting while the three were drinking beer at 7 a.m.[116]
1/11/1955,"Swarthmore, Pennsylvania",1,0,1,"After some of his dormmates urinated on his mattress during a hazing, Robert B. Bechtel, a 22-year-old student proctor at Swarthmore College, returned to his Wharton Hall dorm with a shotgun and killed fellow student 19-year-old Francis Holmes Strozier.[117] Betchtel was acquitted of murder by reason of insanity and spent five years in a psychiatric hospital.[118]"
1/26/1955,"Charlotte, North Carolina",0,1,1,"15-year-old Kenneth Ray Griffin was showing his stepfather's pistol to his friends in the restroom of A. J. Junior High School when he accidentally fired it, striking 14-year-old Jack Plummer in the left side.[119]"
3/5/1956,"Edmore, Michigan",0,1,1,14-year-old Peter Ray Forger shot and wounded 15-year-old William Shurlow after a disagreement at Edmore High School. Forger was charged with assault with attempt to murder.[120]
"March 13/21, 1956","Lakeland, Florida",1,1,2,"24-year-old Clarke Gavin Jr. shot one student of Florida Southern College in the foot and fired at a second student because his wife had been having an affair with them. As punishment, he was expelled from the school. Gavin later killed his friend, 23-year-old Anthony McBride, at McBride's apartment. Gavin was later acquitted by reason of insanity and sent to a mental hospital.[121]"
4/5/1956,"Salisbury, Maryland",0,0,0,Three drunk Navy veterans fired shots into the windows of the Wicomico Senior High School's gymnasium and a parked car at night.[122]
5/4/1956,"Seat Pleasant, Maryland",1,2,3,"15-year-old student Billy Ray Prevatte fatally shot 32-year-old teacher Frazer Cameron and injured 25-year-old athletic coach Francis Daniel Wagner and 31-year-old teacher Robert Hicks at Maryland Park Junior High School. He left after waiting outside the principal's office for a reprimand due to failing to turn in a written physical education assignment; he returned with a rifle, shooting the three staff members.[123] Prevatte was sentenced to 30 years in prison and was released in 1988.[124]"
5/7/1956,"Philadelphia, Pennsylvania",0,2,2,"Burlie Lord and James Pollard, both 17, shot each other in the basement of Overbrook High School due to a gang feud.[125]"
10/20/1956,"Manhattan Valley, New York",0,1,1,A Booker T. Washington Junior High School student was shot and wounded in the forearm by another student armed with a homemade weapon.[126]
2/16/1957,"Lolo, Montana",0,1,1,"A 16-year-old boy was shooting at a target in the snow at his home. The bullet went through the snow and hit Manley Brown, a student in the schoolyard of a school a quarter mile away from where the bullet was fired.[127]"
10/2/1957,"New York City, New York",0,1,1,A 16-year-old student was shot in the leg by a 15-year-old classmate at a city high school.[128]
3/4/1958,"Park Slope, New York",0,1,1,A 17-year-old student shot the future major league baseball player Joe Pepitone (who was also 17 years old at the time) through his stomach at the Manual Training High School.[129][130]
5/1/1958,"Massapequa, New York",1,0,1,A 15-year-old Massapequa High School freshman was killed by a classmate in a washroom.[131]
9/5/1958,"Dallas, Texas",0,1,1,A student was shot and severely injured while attending a Latin class in Booker T. Washington High School.[132]
9/11/1958,"Dallas, Texas",0,0,1,Two students of Lincoln High School were having a shootout in the hallway until teachers restrained them.[132]
4/25/1959,"Nash County, North Carolina",0,0,0,"Three teenagers vandalized North Whitakers Colored School by breaking eight windows with an automatic rifle and egg-sized rocks, causing over $300 in damage.[133]"
9/24/1959,"Melrose, New York",1,0,1,27 men and boys were arrested and an arsenal was seized in the Bronx as the police headed off a gang war resulting from the fatal shooting of a teenager at Morris High School.[134]
2/2/1960,"Hartford City, Indiana",3,0,3,"Hartford City, Indiana, Principal Leonard Redden shot and killed two teachers with a shotgun at William Reed Elementary School before fleeing into a remote forest, where he committed suicide.[135]"
3/30/1960,"Alice, Texas",1,0,1,14-year-old Donna Dvorak brought a target pistol to Dubose Junior High School and fatally shot 15-year-old Bobby Whitford in their 9th-grade science class. Dvorak believed Whitford posed a threat to one of her girlfriends.[136]
6/7/1960,"Blaine, Minnesota",2,0,2,41-year-old mail carrier Lester Betts confronted 33-year-old principal Carson Hammond in his Blaine Elementary School office and shot him dead with a 12-gauge shotgun in apparent jealousy over Hammond's relationships with his former wife. Betts later committed suicide.[137][138]
1/4/1961,"Delmont, South Dakota",1,0,1,"Donald Kurtz, a 17-year-old senior at Delmont High School, was fatally wounded by a .22-caliber bullet from a rifle. The shot, intended as a sound effect for a school play, hit him in the chest during a rehearsal minutes before the play was to take place.[139]"
10/17/1961,"Denver, Colorado",1,2,3,"14-year-old Tennyson Beard got into an argument with 15-year-old William Hachmeister at Morey Junior High School, shooting and wounding him. Another shot fatally struck 14-year-old Deborah Faith Humphrey. Beard attempted suicide but survived. He was later found not guilty by reason of insanity.[140][141]"
11/5/1963,"Cedar Rapids, Iowa",0,1,1,"15-year-old Augie Holmquist, a student at Jefferson High School, was in the locker room after swimming class and was shot twice in the back and once in the hip with a .22-caliber revolver by student, 16-year-old Randy Schultz. Schultz ran home and told his parents to call the police. The boys had been playing water polo, and Holmquist had reportedly dunked Shultz. When Schultz objected, Holmquist hit him. Schultz retaliated with a gun.[142]"
4/27/1966,"Bay Shore, New York",1,0,1,"48-year-old teacher John S. Lane was fatally wounded when he tried to stop 16-year-old student James Arthur Frampton, who was armed with a shotgun and seeking boys he had argued with earlier that day. Lane died about six weeks later.[143] Frampton was sentenced to 30 years in prison for the murder.[144]"
8/1/1966,"Austin, Texas",18,31,49,University of Texas tower shooting: 25-year-old engineering student Charles Whitman fatally shot 15 people and wounded 31 more during a 96-minute shooting rampage from the observation deck of the university. He was shot and killed by police. He had earlier murdered his wife and his mother at their homes.[145][146][147] It was the deadliest shooting on a U.S. college campus until the Virginia Tech shooting in 2007.
10/5/1966,"Grand Rapids, Minnesota",1,1,2,"Grand Rapids High School student 15-year-old David Black killed school administrator Forrest Willey and seriously wounded a fellow student, 14-year-old Kevin Roth.[148][149] Black was tried as an adult and was paroled after serving five years of a 25-year sentence.[150]"
11/12/1966,"Mesa, Arizona",5,2,7,"1966 Rose-Mar College of Beauty shooting: 18-year-old Robert Smith took seven people, including four students, into a backroom at Rose-Mar College of Beauty and ordered them to lie down in a circle. He shot each in the head. Four women and a 3-year-old girl died; another woman and a baby were injured but survived. Police arrested Smith, who reportedly admired Richard Speck and Charles Whitman.[151] Smith was sentenced to death in Arizona's gas chamber, but his sentence was commuted to life when the U.S. Supreme Court ruled the death penalty unconstitutional in 1972."
